"Game ID";"Game Name"
"108771";"'98 Koshien"
"106600";"'99 Koshien"
"114406";"...Iru!"
"107144";"0 Kara no Shogi - Shogi Youchien Ayumi-Gumi"
"19448";"007 - Tomorrow Never Dies"
"102752";"007 - The World is not Enough"
"19579";"007 Racing"
"20230";"1 on 1"
"117313";"100 Manyen Quiz Hunter"
"19939";"Popstar Maker"
"106803";"10101 - Will the Starship"
"117381";"19-03 Ueno Hatsu Yakou Ressha"
"19691";"Mans 24 Hours, Le"
"19946";"2xtreme"
"20090";"360 - Three Sixty"
"102758";"3d Baseball"
"117312";"3d Shooter Tsukuru"
"20037";"3x3 Eyes - Kyuusei Koushu"
"20713";"3x3 Eyes - Tenrinou Genmu"
"20087";"3xtreme"
"106799";"4-4-2 Soccer"
"20429";"5 Star Racing"
"19841";"70's Robot Anime - Geppy-x - The Super Boosted Armor"
"118181";"A IV Evolution - A-Ressha de Ikou 4"
"507385";"A Small Journey"
"20407";"A-IV Evolution Global"
"118182";"A2 Racer - Europa Tour"
"118183";"A5 - A Ressha De Ikou 5"
"117378";"Abalaburn"
"19658";"Absolute Football"
"19607";"Ace Combat 2"
"19433";"Ace Combat 3 - Electrosphere"
"102812";"Aces Of The Air"
"117385";"Acid"
"20216";"Aconcagua"
"19948";"Action Bass"
"19807";"Action Man 2 - Destruction X"
"19849";"Action Man - Mission Extreme"
"20296";"Activision Classics"
"20263";"Actua Golf 3"
"20451";"Actua Ice Hockey"
"20525";"Actua Ice Hockey 2"
"189147";"Actua Soccer - Club Edition"
"20119";"Actua Soccer 2"
"19966";"Actua Soccer 3"
"20035";"Actua Tennis"
"118185";"Ad Lib Ouji - Prince And Unpleasant Friends"
"118184";"Addie No Okurimono - To Moze From Addie"
"19387";"Adibou Et L'ombre Verte"
"19711";"Adiboo And Paziral's Secret"
"19906";"Adidas Power Soccer"
"20069";"Adidas Power Soccer 2"
"19953";"Adidas Power Soccer 98"
"108796";"Adidas Power Soccer International '97"
"20372";"Advan Racing"
"20252";"Iron And Blood - Warriors Of Ravenloft"
"20253";"Advanced V.g."
"20050";"Advanced V.g. 2"
"152581";"Adventure Of Puppet Princess ,the"
"195054";"Aeon Flux"
"109311";"Afl 99"
"108857";"Afraid Gear"
"194949";"Afraid Gear Another"
"131465";"Afro-ken - The Puzzle (2000 Series)"
"19824";"Agent Armstrong - Himitsu Shirei Daisakusen"
"20218";"Agile Warrior"
"189469";"Ai Mahjong 2000"
"118186";"Ai Mahjong Selection"
"117908";"Ai Shogi 2"
"194950";"Ai Shogi Selection [major Wave 1500 Series]"
"269018";"AI Shougi"
"269020";"AI Shougi 2 Deluxe"
"19590";"Air Combat"
"102819";"Air Hockey"
"117384";"Air Management '96"
"117379";"Air Race Championship"
"140705";"Airgrave"
"117537";"Aironauts"
"117538";"Airs, The"
"118188";"Aishiau Kotoshika Dekinai - Nothing But Loving you"
"118189";"Aitakute... Your Smiles In My Heart"
"117543";"Akagawa Jirou - Yasoukyoku"
"117544";"Akagawa Jirou - Yasoukyoku 2"
"130902";"Akagi - Touhaiden"
"118191";"Akazu No Ma"
"504730";"Akiretris"
"19562";"Akuji The Heartless"
"117540";"Alex Ferguson's Player Manager 2002"
"103476";"Equestrian Showcase"
"130977";"Alexandra Ledermann - Equitation Passion"
"20144";"Alfred Chicken"
"117542";"Alice In Cyberland"
"19382";"Alien Resurrection"
"19454";"Alien Trilogy"
"117541";"Alive"
"103461";"All Star Action"
"20188";"All Star Racing"
"20432";"All Star Racing 2"
"117546";"All Star Soccer"
"118193";"All Star Watersports"
"103463";"All-star 1997 Featuring Frank Thomas"
"152829";"All-star Mahjong - Karei Naru Shoubushi Kara No Chousen"
"20004";"Super Slammin' Dodgeball"
"103464";"Panzer General 2 - Allied General"
"118194";"Alnam No Kiba - Fang Of Alnam"
"118195";"Alnam No Tsubasa - Shouchiri No Sora No Achira E"
"19591";"Alone in the Dark - Jack Is Back"
"19329";"Alone In The Dark - The New Nightmare"
"47072";"Alundra"
"19369";"Alundra 2"
"118196";"America Oudan Ultra Quiz"
"20277";"American Pool"
"117583";"Anastasia"
"118197";"Ancient Roman - Power Of The Dark Side"
"20002";"Andretti Racing"
"117910";"Angel Blade Neo Tokyo Guardians"
"118199";"Angel Graffiti - Anathe No Profile"
"118202";"Angelique Duet"
"118201";"Angelique Special"
"118203";"Angelique Special 2"
"118200";"Angelique Tenkuu No Requiem"
"131631";"Angolmois 99 (superlite 1500 Series)"
"118204";"Animal Football"
"118205";"Animal Snap - Rescue Them 2 By 2"
"20275";"Animaniacs In Ten Pin Alley"
"118206";"Animetic Story Game 1 - Cardcaptor Sakura"
"105236";"Animorphs - Shattered Reality"
"117585";"Ankh Tutankhamen No Nazo"
"19599";"Anna Kournikova's Smash Court Tennis"
"131632";"Ano Ko Doko No Ko"
"118207";"Another Memories"
"118208";"Another Mind"
"118323";"Ao No Rokugou - Antarctica"
"269092";"Aoki Ookami to Shiroki Mejika - Genchou Hishi"
"189468";"Aozora To Nakama-tachi - Yume No Bouken Plus"
"19493";"Ape Escape"
"19419";"Apocalypse"
"103468";"Aqua Gt"
"189467";"Aqua Paradise"
"118325";"Aquanaut No Kyuujitsu - Memories Of Summer 1996"
"118326";"Aquanaut No Kyuujitsu 2"
"103470";"Aquanaut's Holiday"
"118327";"Aquarian Age - Tokyo Wars"
"190963";"Arc The Lad Collection"
"19759";"Arc The Lad - Monster Game"
"19472";"Arc The Lad"
"19536";"Arc The Lad 2"
"19763";"Arc The Lad 3"
"131720";"Arcade Classic-shu (3in1 Series)"
"189466";"Arcade Gears - Imagefight And Xmultiply"
"118328";"Arcade Hits - Crazy Climber"
"118329";"Arcade Hits - Frisky Tom"
"118330";"Arcade Hits - Moon Cresta"
"103617";"Arcade Party Pak"
"103629";"Arcade's Greatest Hits - The Atari Collection 1"
"103628";"Arcade's Greatest Hits - The Atari Collection 2"
"103627";"Arcade's Greatest Hits - The Midway Collection 2"
"103618";"Archer Maclean's 3d Pool"
"118333";"Are! Mo Kore? Mo Momotarou"
"19845";"Area 51"
"118884";"Ark Of Time"
"118332";"Arkana Senki Ludo"
"152558";"Arkanoid R 2000"
"20266";"Arkanoid Returns"
"118885";"Armed Fighter"
"19681";"Armored Core"
"103377";"Armored Core - Master Of Arena"
"103621";"Armored Core - Project Phantasma"
"20326";"Armorines - Project Swarm"
"19747";"Army Men 3d"
"19782";"Army Men - Air Attack"
"19812";"Army Men - Air Attack 2"
"20076";"Army Men - Omega Soldier"
"19753";"Army Men - Sarge's Heroes"
"20142";"Army Men - Sarge's Heroes 2"
"19967";"Army Men - Operation Meltdown"
"20155";"Army Men - Lock N Load"
"20082";"Army Men - Land Sea Air"
"103620";"Army Men - Team Assault"
"118886";"Art Camion Geijutsuden"
"118887";"Art Camion Sugorokuden"
"194945";"Arthur To Astaroth No Nazo Makaimura - Incredible Toons"
"103623";"Arthur! Ready To Race"
"118192";"Arubarea No Otome - Uruwashi No Seikishitachi"
"132345";"Asobou! Hanasou! Gurugurutaun Hanamarukun (kid Station)"
"419166";"Asonde Chinou Up"
"103622";"Assault"
"20039";"Assault Rigs"
"118888";"Assault Suits Valken 2"
"19432";"Astérix"
"19512";"Asterix And Obelix Take On Caesar"
"19380";"Astérix Mega Madness"
"20120";"Asteroids"
"134772";"Astronaut (simple 1500 Series), The"
"118889";"Astronoka"
"124651";"Asuka 120% Burning Fest Final"
"124650";"Asuka 120% Excellent - Burning Fest. Excellent"
"118937";"Asuka 120% Special - Burning Fest Special"
"118890";"Asuncia - Strategic Fantasy Role Playing Game"
"103626";"Atari Anniversary Edition Redux"
"19978";"Atelier Elie"
"156074";"Atelier Marie"
"132151";"Atelier Marie Plus"
